George,Postman,39
Sam,Starr,21
Sam,Manson,101
Jennifer,Iceman,100
George,Golovkin,40
Sam,Postman,3
George,Postman,104
George,Starr,10
Jennifer,Postman,111
Sam,Manson,110
Ann,Postman,72
Matt,Iceman,43
Jennifer,Manson,81
Sam,Starr,58
Sam,Golovkin,7
Jennifer,Manson,79
Jennifer,Postman,107
Sam,Starr,52
Jennifer,Starr,105
George,Manson,70
Jennifer,Golovkin,94
Jennifer,Iceman,68
Matt,Postman,98
Matt,Postman,5
Sam,Golovkin,62
Matt,Golovkin,52
Jennifer,Manson,72
Sam,Starr,20
George,Postman,33
Jennifer,Postman,5
Sam,Iceman,101
George,Starr,17
George,Golovkin,62
Ann,Postman,72
George,Postman,8
Matt,Iceman,28
Sam,Golovkin,14
Jennifer,Manson,106
Matt,Golovkin,78
Sam,Manson,116
Ann,Golovkin,5
Matt,Manson,17
Matt,Iceman,39
Jennifer,Manson,64
Matt,Manson,42
Matt,Starr,87
Sam,Iceman,19
Ann,Iceman,100
Jennifer,Manson,48
Matt,Iceman,15
Ann,Postman,110
George,Postman,5
Matt,Iceman,100
Ann,Iceman,99
Sam,Manson,3
Matt,Golovkin,106
Ann,Postman,114
Sam,Manson,77
Matt,Starr,46
Matt,Starr,52
Jennifer,Postman,113
Sam,Golovkin,92
George,Postman,41
Jennifer,Golovkin,30
Sam,Manson,64
George,Iceman,103
Ann,Postman,117
Sam,Golovkin,46
George,Starr,51
Matt,Golovkin,5
Jennifer,Manson,103
Jennifer,Manson,49
Matt,Postman,65
George,Manson,2
George,Manson,23
Matt,Iceman,96
Sam,Starr,11
Sam,Manson,102
Matt,Manson,58
Ann,Postman,29
Jennifer,Golovkin,63
Jennifer,Manson,22
George,Starr,32
Sam,Golovkin,70
Ann,Manson,20
George,Golovkin,109
Jennifer,Postman,111
Ann,Golovkin,8
Matt,Starr,0
Jennifer,Manson,33
Ann,Postman,41
Ann,Golovkin,84
George,Manson,57
Sam,Starr,0
Jennifer,Postman,78
Jennifer,Postman,93
Matt,Starr,12
George,Starr,102
Matt,Postman,104
Jennifer,Golovkin,21
George,Manson,70
George,Manson,74
Sam,Starr,72
Sam,Starr,91
Sam,Golovkin,95
Ann,Manson,43
Sam,Starr,114
George,Manson,12
Ann,Iceman,102
Jennifer,Manson,76
Jennifer,Manson,14
Jennifer,Iceman,82
Jennifer,Manson,33
Matt,Golovkin,0
Sam,Postman,81
Sam,Starr,75
Matt,Golovkin,98
Sam,Manson,62
Ann,Postman,20
George,Postman,61
Ann,Iceman,59
Matt,Golovkin,37
Sam,Golovkin,25
George,Starr,90
Ann,Postman,9
Matt,Iceman,113
Sam,Postman,29
Ann,Golovkin,97
Jennifer,Postman,71
Sam,Iceman,22
Ann,Starr,9
George,Iceman,6
Jennifer,Starr,69
Sam,Manson,53
George,Postman,94
Sam,Starr,48
Sam,Iceman,83
George,Starr,80
Matt,Golovkin,8
Sam,Starr,70
Ann,Golovkin,100
George,Postman,53
Ann,Golovkin,61
George,Starr,57
Matt,Iceman,89
Jennifer,Manson,75
George,Postman,72
Sam,Postman,66
Matt,Manson,4
Sam,Iceman,28
Jennifer,Golovkin,72
George,Postman,48
Ann,Manson,45
Matt,Postman,102
Ann,Golovkin,54
George,Manson,99
Ann,Iceman,112
Matt,Starr,40
Matt,Golovkin,85
George,Postman,63
Jennifer,Golovkin,29
Matt,Manson,47
Sam,Iceman,57
Ann,Postman,99
Matt,Iceman,16
Ann,Manson,110
Jennifer,Manson,79
Jennifer,Iceman,44
Matt,Manson,21
Ann,Golovkin,106
Ann,Postman,56
Sam,Golovkin,31
Ann,Manson,54
Matt,Manson,48
Sam,Postman,99
Ann,Starr,47
Sam,Manson,106
Ann,Postman,104
George,Postman,0
Sam,Manson,95
Sam,Manson,46
Sam,Iceman,22
Sam,Golovkin,103
Ann,Golovkin,4
Jennifer,Manson,57
Jennifer,Postman,49
Matt,Postman,11
Ann,Postman,76
Jennifer,Postman,78
Matt,Manson,89
Jennifer,Iceman,87
George,Manson,18
Ann,Golovkin,5
Jennifer,Postman,79
Sam,Starr,11
George,Starr,85
George,Manson,119
Matt,Manson,28
Sam,Iceman,117
Sam,Iceman,116
Sam,Starr,97
Ann,Postman,28
Sam,Starr,118
Jennifer,Iceman,26
Ann,Starr,44
Sam,Iceman,47
Jennifer,Iceman,46
Ann,Golovkin,77
George,Manson,60
Sam,Postman,7
Ann,Postman,83
Ann,Manson,3
George,Iceman,19
Matt,Golovkin,55
Matt,Golovkin,93
Sam,Manson,52
Matt,Manson,104
Ann,Golovkin,50
Sam,Manson,98
Jennifer,Starr,51
George,Starr,45
Sam,Golovkin,56
Sam,Starr,85
Sam,Starr,66
George,Iceman,49
Jennifer,Starr,108
Jennifer,Iceman,22
George,Manson,57
Matt,Starr,35
Matt,Golovkin,5
George,Postman,82
Ann,Iceman,94
Sam,Postman,45
Jennifer,Postman,82
Jennifer,Iceman,48
Ann,Manson,115
Jennifer,Iceman,72
Matt,Iceman,9
Jennifer,Manson,3
Jennifer,Starr,28
George,Manson,15
Sam,Iceman,45
Matt,Golovkin,31
Matt,Starr,49
George,Starr,38
Jennifer,Golovkin,76
Matt,Golovkin,52
George,Postman,108
George,Iceman,65
George,Iceman,27
Ann,Manson,8
Ann,Manson,84
Ann,Starr,53
Sam,Postman,103
Ann,Manson,5
Matt,Iceman,80
Jennifer,Iceman,46
Ann,Golovkin,101
Jennifer,Golovkin,60
Matt,Postman,10
Sam,Manson,76
Sam,Iceman,45
George,Manson,64
Matt,Manson,12
Matt,Manson,20
Sam,Postman,24
Ann,Postman,50
Matt,Iceman,76
Ann,Starr,91
Jennifer,Iceman,84
George,Postman,29
Jennifer,Postman,46
Jennifer,Iceman,60
Jennifer,Starr,87
Sam,Postman,28
Matt,Golovkin,35
Jennifer,Manson,70
Matt,Manson,14
Jennifer,Starr,75
Matt,Iceman,29
Matt,Postman,49
Ann,Golovkin,89
George,Iceman,20
Jennifer,Iceman,95
Jennifer,Postman,9
Sam,Postman,51
Ann,Starr,26
Sam,Iceman,23
Jennifer,Golovkin,16
Ann,Golovkin,62
Ann,Postman,108
Jennifer,Starr,17
Ann,Iceman,103
Ann,Postman,79
George,Starr,96
Ann,Golovkin,65
George,Golovkin,60
Ann,Iceman,60
Ann,Iceman,99
Sam,Starr,93
Ann,Golovkin,68
Ann,Postman,27
Ann,Postman,12
Matt,Golovkin,32
Jennifer,Postman,82
Matt,Manson,99
Matt,Postman,87
Ann,Manson,76
Jennifer,Golovkin,54
Sam,Starr,10
Sam,Manson,119
Jennifer,Starr,106
George,Starr,20
Jennifer,Golovkin,2
Ann,Manson,107
George,Starr,49
George,Iceman,90
Matt,Golovkin,50
Ann,Starr,82
Jennifer,Postman,83
Ann,Manson,14
Matt,Golovkin,45
Sam,Postman,51
Matt,Starr,116
Sam,Golovkin,110
Ann,Starr,19
Ann,Golovkin,82
Sam,Manson,29
Matt,Golovkin,64
Ann,Starr,107
George,Iceman,103
Jennifer,Starr,41
Jennifer,Manson,70
Matt,Starr,45
Sam,Manson,92
George,Golovkin,36
Jennifer,Manson,20
Ann,Golovkin,41
George,Starr,107
Sam,Golovkin,40
Jennifer,Iceman,94
Matt,Iceman,26
Matt,Manson,42
Ann,Iceman,106
Jennifer,Postman,83
Ann,Manson,62
Sam,Manson,84
Matt,Starr,59
Ann,Golovkin,25
George,Postman,30
George,Golovkin,102
Jennifer,Manson,1
Sam,Golovkin,109
Matt,Postman,58
George,Postman,53
Ann,Iceman,111
Jennifer,Golovkin,60
Jennifer,Manson,43
Ann,Iceman,110
Jennifer,Starr,33
George,Starr,98
Jennifer,Postman,85
Sam,Postman,96
Matt,Starr,5
Jennifer,Manson,60
Matt,Iceman,114
George,Iceman,0
Matt,Golovkin,27
Sam,Manson,6
Matt,Iceman,2
Matt,Iceman,48
Matt,Manson,45
Jennifer,Postman,26
Sam,Iceman,54
Ann,Iceman,85
Sam,Golovkin,68
Matt,Manson,105
George,Starr,56
Matt,Manson,0
George,Golovkin,105
Matt,Postman,80
George,Postman,93
Jennifer,Postman,80
George,Manson,73
Jennifer,Iceman,70
Ann,Golovkin,81
Matt,Starr,108
Ann,Manson,20
George,Manson,4
Sam,Iceman,52
Jennifer,Manson,25
Matt,Postman,54
Matt,Postman,90
Jennifer,Postman,38
Sam,Golovkin,47
George,Manson,109
George,Starr,108
Jennifer,Golovkin,102
Jennifer,Starr,28
Jennifer,Postman,11
Sam,Manson,8
Ann,Postman,23
